施設名,所在地,緯度,経度,電話番号,URL
さくらしんまち保育園,桜新町2-29-3,35.632209020246776,139.6389607764521,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00014406.html
さくらしんまち保育園分園 ぴっころ保育園,桜新町2-13-17,35.63373388454168,139.64291402995892,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033468.html
さくらのその保育園,桜丘2-1-8,35.643151810035896,139.62888030861748,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033454.html
ねいろ保育園,弦巻4-7-15,35.635370337047355,139.64228917877796,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022614.html
ポピンズナーサリースクール桜新町,桜新町2-8-1,35.63195856489848,139.6451148386423,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00027934.html
マミーナ桜新町,弦巻3-13-10,35.63599892660579,139.64484445536468,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011870.html
ベビールーム桜新町,桜新町2-9-6,35.632057513872525,139.64406505208723,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038985.html
桜すくすく保育園,桜3-19-13,35.64061924908302,139.63433727284607,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138953.html
いいほいくえん 用賀,用賀３－１２－１９,35.628648206989816,139.63723007561552,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00138067.html
わらべうた桜新町保育園,桜新町１－１－６,35.62777840535437,139.64556459595622,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00125733.html
上馬保育園,上馬5-29-13,35.6407520157066,139.65781601177437,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011727.html
駒沢保育園,野沢4-22-2,35.63366861138017,139.6653228387223,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011726.html
東弦巻保育園,弦巻2-29-17,35.6356147637602,139.6515328383212,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011720.html
クラルテ保育園,世田谷1-22-2,35.642690949811296,139.64817216830258,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011795.html
バンビ保育室,世田谷1-32-14,35.64124284303876,139.64990958147234,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011796.html
グローバルキッズ松陰神社駅前保育園,若林3-17-11,35.64361789677735,139.65551156635772,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011865.html
駒沢プチ・クレイシュ,上馬4-2-5,35.63475980232525,139.6631915629745,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011872.html
フロンティアキッズ上馬,上馬2-29-16,35.63991399695722,139.66578523820684,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00033095.html
フロンティアキッズ上町,世田谷1-30-9,35.64143405092467,139.6483351806955,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00015811.html
日生上馬保育園ひびき,上馬4-31-9,35.63830455201261,139.66015096906364,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038988.html
さくらキッズ,新町3-21-3,35.631985579613406,139.64666183466795,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011809.html
駒沢こだま保育園,駒沢2-46-9,35.63657486290186,139.6567727707906,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138960.html
蓮美幼児学園世田谷第２ナーサリー,若林３－２１－３,35.644180311167425,139.65633829734494,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124613.html
ベビールーム三軒茶屋,三軒茶屋２－３９－７,35.64073272791682,139.66379571826954,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124608.html
カシュカシュこまざわ,駒沢２－１１－５,35.63217097049098,139.65897839768078,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124618.html
オリービア保育園,上馬4-12-3,35.635417291819984,139.6626992673262,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011734.html
三軒茶屋保育園,三軒茶屋1-23-4,35.64060726045289,139.66973036603434,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011717.html
下馬保育園,下馬5-32-11,35.63691555885409,139.68270596963168,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00139502.html
青葉学園野沢こども園（認定こども園）,野沢1-3-19,35.63453330554656,139.66971216008434,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011735.html
おともだち保育園分園 こまつなぎ,下馬1-42-1,35.639449678164965,139.68061979865914,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033350.html
下馬鳩ぽっぽ保育園,下馬3-14-9,35.63596197860398,139.67537696691446,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011729.html
鳩ぽっぽ保育園,太子堂1-15-5,35.642170054535626,139.67450245173836,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011728.html
サン・ベビールーム,三軒茶屋2-8-11,35.642485342244186,139.6677321683537,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011797.html
つくし保育園,太子堂2-6-12,35.646076248694875,139.67388084588163,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011794.html
昭和ナースリー（認定こども園）,太子堂1-13-21,35.643629857130286,139.67376998036673,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00141152.html
ポピンズナーサリースクール三軒茶屋,野沢1-35-8,35.63870858641067,139.67253158820614,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011871.html
もみの木保育園太子堂,太子堂1-12-18,35.643650342230565,139.6731089313986,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00036827.html
ニチイキッズ三軒茶屋保育園,三軒茶屋1-2-21,35.638907355520274,139.67444519600227,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038963.html
おともだち保育園,下馬2-21-11,35.64012947181744,139.67611631541007,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011730.html
おともだち保育園分園 こまどめ,下馬4-18-1,35.637290792924034,139.67836389139163,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011731.html
世田谷はっと保育園,下馬4-1-8,35.633473674805124,139.67790200976162,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00133975.html
いなみ小児科病児保育室ハグルーム,下馬3-10-7,35.63472488046257,139.67417666749972,, 
池尻かもめ保育園,池尻2-5-8,35.646544334547755,139.68048703450341,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125116.html
上祖師谷保育園,上祖師谷1-16-17,35.66324223295738,139.60125959526826,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011783.html
上祖師谷南保育園,上祖師谷4-6-7,35.65395623090824,139.5967815136695,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011784.html
給田保育園,給田2-13-6,35.6650316279446,139.59334539926428,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011787.html
祖師谷保育園,上祖師谷3-20-17,35.6568065736032,139.60077205222262,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011792.html
祖師谷保育園分園,上祖師谷6-31-5,35.66017709234201,139.5949256401226,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00021034.html
成城つくしんぼ保育園,成城8－27-17,35.64873642834333,139.59397976882255,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125109.html
希望丘保育園,船橋6-26-5,35.65807247370073,139.62092931002658,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011770.html
船橋西保育園,船橋7-20-16,35.658429729437024,139.61555251881106,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011771.html
南八幡山保育園,八幡山3-9-20,35.664790465157225,139.6170636078989,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00131619.html
砧保育園,祖師谷4-3-17,35.64716138798161,139.60776816557214,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011768.html
ひだまり保育園,船橋4-3-2,35.65525211663448,139.6224913531889,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025980.html
すこやか園,船橋1-30-9,35.64802180100883,139.62093416233674,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011779.html
世田谷つくしんぼ保育園,祖師谷6-33-5,35.65741371966548,139.60343818914498,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00024862.html
祖師谷わかば保育園,祖師谷2-5-38,35.64815811174393,139.61247726659693,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011777.html
千歳保育園,千歳台6-16-12,35.65780122862237,139.60691598664906,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011780.html
千歳なないろ保育園,千歳台3-17-5,35.652041404577474,139.6151930491735,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025979.html
エクレール保育園,船橋1-11-2,35.64722994558124,139.6222172523248,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011884.html
めぐみマテルネル,船橋1-30-19,35.64815497965733,139.62147183351593,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022615.html
ゆりかご保育園,粕谷4-7-8,35.66467602740116,139.60388426304314,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022617.html
烏山杉の子保育園,南烏山2-2-3,35.664895261883274,139.60608179679076,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011793.html
太陽の子　世田谷船橋保育園,船橋4-13-7,35.65654714614838,139.62091600930097,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138996.html
ぽこころ保育園　祖師谷,祖師谷４－４－１６,35.64750925429871,139.60648607920797,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00138073.html
ぽけっとランド千歳船橋,船橋6-16-11,35.65937313452861,139.6234365524173,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131245.html
太陽の子めぐりさわ保育園,千歳台４－１４－１,35.65651374434602,139.61276460993582,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124616.html
赤堤保育園,赤堤4-1-10,35.66026413176161,139.64142274511346,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00127622.html
船橋東保育園,船橋5-14-19,35.654814809496344,139.62762204375446,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011769.html
わかくさ保育園,経堂1-25-11,35.649178023005845,139.6355064090573,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011724.html
烏山杉の子保育園分園 みなみ風,経堂5-38-14,35.6488264619064,139.63018474887605,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033411.html
経堂保育園,経堂4-13-10,35.64834592335143,139.62820779571436,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011733.html
早苗保育園,桜上水3-18-12,35.660317595858395,139.63182861253352,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011746.html
ポピンズナーサリースクール経堂,赤堤3-32-5,35.656919662231495,139.63545495882798,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00033093.html
ゆりかご赤堤園,赤堤3-2-7,35.65834775050524,139.64206416107106,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00033097.html
早苗保育園分園 ほなみ,赤堤4-34-6,35.66407385243173,139.63971926824144,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033412.html
松沢保育園,上北沢1-32-3,35.66400057762064,139.62404386560095,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011781.html
みんなのおうち保育園,桜上水5-3-28,35.664729765830614,139.62838073069446,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138958.html
ラフ・クルー経堂保育園,経堂1-6-17,35.64868477876486,139.63748469915723,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131243.html
わらべうた経堂保育園,桜上水１－７－１０,35.65695477481887,139.63146552688625,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124614.html
梅丘保育園,松原6-6-9,35.660040138124536,139.6532088783063,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011744.html
豪徳寺保育園,豪徳寺1-34-2,35.65538854546088,139.64941681159928,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011737.html
下北沢保育園,代沢5-34-15,35.65967730549821,139.66534966633438,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011738.html
世田谷保育園,若林4-37-11,35.647645787966965,139.6569852898607,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011718.html
太子堂保育園,太子堂5-24-27,35.648991221743564,139.665984723009,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011716.html
代田保育園,代田3-27-20,35.65506520238799,139.6584807033949,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011736.html
河田保育園,赤堤1-3-23,35.655011631204964,139.6458189463335,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011747.html
成育しせい保育園梅丘分園,梅丘1-31-36,35.65617820390883,139.65411655554772,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025981.html
春明保育園,豪徳寺1-25-18,35.65352396669451,139.64754030585,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011745.html
羽根木こども園（認定こども園）,代田4-25-9,35.66079587490128,139.65565285919726,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011748.html
松原保育園,松原5-33-16,35.662889798639696,139.65043719843578,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011742.html
グローバルキッズ東松原駅前保育園,羽根木1-31-21,35.66545025455607,139.65728204078258,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00015406.html
ベビールーム下北沢,北沢2-29-12,35.663275893103645,139.66693231663191,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011874.html
マミーナ下北沢,北沢2-23-10,35.66147846346219,139.66608580003304,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011873.html
蓮美幼児学園世田谷ナーサリー,若林4-31-17,35.64655760333301,139.6540249636714,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011869.html
豪徳寺保育園病後児保育室きてぃるーむ,松原6-41-8,35.656751474763524,139.64956874977707,, 
保育室SUKUSUKU,梅丘1-8-9,35.6540420380451,139.65429913601108,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011801.html
円光院幼稚園(認定こども園),梅丘2-19-8,35.65041592572728,139.65226793521083,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00141151.html
太子堂なごみ保育園分園うめがおか,梅丘2-11-9,35.64953516166613,139.65399467721406,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125111.html
羽根木のぞみ保育園,羽根木1-7-11,35.66510026384111,139.6604008490472,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138955.html
ドレミファ保育室,北沢2-26-23,35.66221397821025,139.66673173142516,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011802.html
病児・病後児保育室下北沢ひよこ園,北沢2-26-25,35.66196077935696,139.666599274513,, 
三宿保育園,三宿2-37-3,35.6527940525825,139.67288746632335,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00129685.html
下馬鳩ぽっぽ保育園分園 野の花園,三宿2-26-25,35.652434605246455,139.67446722466684,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033353.html
太子堂なごみ保育園,太子堂2-3-10,35.64729939488824,139.67352503715523,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00031206.html
なかよし保育室,池尻2-28-12,35.649006206759246,139.68374531151795,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011798.html
都市型保育園ポポラー東京三軒茶屋園,太子堂3-37-1,35.65114932375125,139.670544100454,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00017423.html
蓮美幼児学園池尻ナーサリー,池尻3-20-1,35.64940097979261,139.68148874781824,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011866.html
東北沢ききょう保育園,北沢1-20-11,35.665164611155575,139.67357394145978,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00036835.html
池尻保育園,池尻2-3-11,35.646637872692814,139.6824692925542,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00139543.html
遊愛保育園,三宿2-16-32,35.65177011563581,139.67556749777822,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138817.html
わらべうた三宿保育園,池尻3-23-2,35.648439878277244,139.6798101181974,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131240.html
代沢みこころ保育園,代沢2-27-1,35.65763382278833,139.66869457379087,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00134579.html
西之谷保育園,北烏山6-12-21,35.6725926058636,139.59667307236595,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011791.html
せたがや小鳥の森保育園,北烏山8-9-13,35.675699816282,139.5893156786219,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00031238.html
京王キッズプラッツ烏山,南烏山5-17-5,35.66691111227035,139.6013195598788,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00019355.html
ゆらりん千歳烏山保育園,南烏山6-6-2,35.66786560155938,139.59979478515643,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011888.html
ラフ・クルー烏山保育園,南烏山6-38-9,35.671988744174406,139.59970224656894,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022618.html
烏山保育園,南烏山6-22-14,35.669867684358366,139.59805945593348,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011789.html
烏山いちご保育園,北烏山8-1-5,35.674973668512365,139.59163750975415,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138957.html
病児・病後児保育室ポピンズルーム千歳烏山,南烏山6-12-12,35.66839253016428,139.59784419073534,, 
ポピンズナーサリースクール千歳烏山,南烏山6-12-12,35.668342652940545,139.59792033337808,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131242.html
上北沢保育園,上北沢4-25-3,35.66973861495006,139.62023685545694,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011782.html
烏山北保育園,北烏山3-13-35,35.67736870677475,139.601918321579,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011790.html
八幡山保育園,粕谷2-22-3,35.66641747556601,139.6111409381042,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00122189.html
芦花保育園,南烏山2-30-17,35.66944064356344,139.60643487218962,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011788.html
メネス保育園,南烏山4-16-16,35.670868671755045,139.60136565921823,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011813.html
芦花ゆりかご保育園,南烏山3-9-10,35.671449303490206,139.6065062914278,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011889.html
子育てステーション烏山病児病後児保育室にこりんるーむ,南烏山5-17-5,35.666911325042065,139.60143001683338,, 
北烏山なごみ保育園,北烏山3-11-6,35.673897801409765,139.6022005325417,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125115.html
小さなおうち保育園,上北沢3-1-20,35.66627592977263,139.62740034125642,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125117.html
大原保育園,大原1-23-13,35.667578082615385,139.66143271185592,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011739.html
松原北保育園,松原1-11-4,35.666586602111195,139.65373298483334,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011741.html
アスク明大前保育園,松原1-50-15,35.669619086554704,139.65445788882764,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011875.html
みどり幼稚園保育室,松原2-17-22,35.66643528719676,139.64850782273072,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011804.html
若竹保育園,北沢5-18-4,35.66953953917111,139.6696994092754,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011740.html
奥沢子育て児童ひろば,奥沢4-8-14,35.60051312581713,139.6715918488661,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00138570.html
喜多見児童館,喜多見2-10-40,35.6247313731074,139.59473619948753,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007150.html
鎌田児童館,鎌田3-35-1,35.62231075229302,139.6135265328627,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00145703.html
玉川台児童館,玉川台1-6-15,35.62294491298332,139.6330434109462,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00131693.html
森の児童館,上野毛4-29-18,35.61686912990768,139.63879778621958,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007135.html
深沢児童館,深沢4-33-11,35.62017706530916,139.65386293529934,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007138.html
等々力児童館,等々力3-25-16,35.61127372669052,139.6500070505441,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007126.html
成城さくら児童館,成城3-18-23,35.63410868644257,139.59762760252335,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007153.html
山野児童館,砧4-1-7,35.638030578802216,139.61465542503953,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007156.html
桜丘児童館,桜丘5-14-1,35.644783761974175,139.6223318970823,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00131993.html
上町児童館,世田谷2-30-16,35.64305645552068,139.64287837866578,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00145540.html
上用賀児童館,上用賀4-14-3,35.635865397126665,139.63005457585237,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007141.html
新町児童館,新町2-23-4,35.63083265288893,139.64769689469577,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007144.html
弦巻児童館,弦巻1-26-11,35.63697794028432,139.65192860525931,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007085.html
野沢児童館,野沢1-8-14,35.63471827093553,139.67118023845575,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007092.html
上祖師谷ぱる児童館,上祖師谷4-5-6,35.65358589657305,139.5967564853518,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00145762.html
粕谷児童館,粕谷4-13-6,35.66295273515063,139.60514495327027,,http://www.city.setagaya.lg.jp/kurashi/103/131/497/1851/d00007123.html
祖師谷児童館,祖師谷4-28-6,35.649673994239095,139.6062614957602,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00147123.html
船橋児童館,船橋5-17-28,35.654795305083034,139.62543069414914,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007147.html
松沢児童館,赤堤4-37-14,35.66440704414511,139.64179310017872,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007108.html
若林児童館,若林5-18-13,35.64862320822978,139.65697327815658,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007082.html
代田南児童館,代田1-21-11,35.65261299299169,139.66178795688646,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007111.html
代田児童館,代田６－３４－１３,35.662761889319775,139.66061883134068,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00124214.html
池尻児童館,池尻2-3-11,35.64663748685317,139.68256036408658,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007077.html
烏山児童館,南烏山4-26-3,35.67172343106817,139.60153857366308,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007114.html
上北沢児童館,上北沢3-8-9,35.66739863246925,139.6255716366855,,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007117.html
たまがわ　いち・にい・さん,世田谷区玉川1-2-3,35.608043275696076,139.63121384656824,,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00152766.html
ほっとスクール「尾山台」,尾山台3-19-3,35.60499036504008,139.65416057190777,,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005679.html
玉堤一丁目おでかけひろば,世田谷区玉堤1-8-5,35.59429030504125,139.6533022188551,,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00153922.html
きぬたまの家（うち）,鎌田1-19-1-101,35.618121183014736,139.6150069026455,,http://setagaya-mizubedesign.org/kinutama_uchi.html
教育相談室玉川分室,玉川2-1-15,35.61147145849266,139.63135214120965,,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005676.html
ひまわり,玉川4-16-6,35.61772460894992,139.62391181230558,,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00040023.html
かみのげおでかけひろば,上野毛1-27-5,35.61260728903562,139.6381345255761,, 
おでかけひろば　まーぶる,世田谷区瀬田2-25-10,35.620451867855756,139.63186806266782,,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00152768.html
子育てステーション成城,成城6-5-34,35.640177426088336,139.59902380719302,,http://www.city.setagaya.lg.jp/kurashi/103/128/454/d00016017.html
教育相談室砧分室,成城6-3-10,35.64078713163229,139.60065913803913,,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005676.html
おでかけひろば FUKU＊fuku,世田谷区喜多見9-14-15,35.63882093216395,139.5858996246419,,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00152767.html
発達障害相談・療育センター「げんき」,大蔵2-10-18,35.634629073481534,139.61295802031688,,http://www.city.setagaya.lg.jp/shisetsu/1224/1353/d00132485.html
東京都世田谷児童相談所,桜丘5-28-12,35.64355778621789,139.61973659728858,, 
子育てステーション桜新町,桜新町2-8-1,35.63195873735193,139.64522524780236,,http://www.city.setagaya.lg.jp/kurashi/103/128/454/d00127459.html
古民家mamas＠世田谷1丁目,世田谷1-11-18,35.641849254753865,139.65341291699778,,http://ameblo.jp/kominkamamas/
まちもりほっとステイSUKUSUKU,世田谷3丁目1番27号,35.642904985139324,139.65032727369967,,http://www.setagaya-station.com/matimori/sukusuku/index.html
ほっとステイ「ぽっぽ」,上馬4丁目12番3号,35.635508551491235,139.6626640719668,,http://www.city.setagaya.lg.jp/kurashi/103/128/448/d00150937.html
子育てステーション世田谷,太子堂1-12-40,35.645246541570955,139.67498125202914,,http://www.city.setagaya.lg.jp/kurashi/103/128/454/d00016047.html
教育相談室世田谷分室,太子堂4-3-1,35.64336960935341,139.66873090748408,,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005676.html
のざわテットーひろば,野沢3-14-22,35.630262317645595,139.67642854777122,,http://tettohiroba.lolipop.jp
ひょっこりひろば,下馬3-10-7,35.63468123318608,139.67422931078872,,http://www.inami-shounika.jp/hyokkori/
けやき広場,成城8-27-17,35.648590930077326,139.5939714786773,,http://www.seijo-tsukushinbo.jp/childcare.shtml
すこやか広場,船橋1-30-9,35.64794783271648,139.6211071834346,,http://www.kisenfukushi.com/service/kodomono_seikatsu_hoiku/sukoyaka_hiroba
みずき広場,祖師谷6-33-5,35.657390459680826,139.6035302560453,,http://setagaya-tsukushinbo.jp/childcare.shtml
ほっとステイ　カムパネルラ経堂,宮坂3-15-15,35.653961734452565,139.63745282216772,,http://www.city.setagaya.lg.jp/kurashi/103/128/448/d00150938.html
生活クラブ子育て広場ぶらんこ,宮坂3-13-13,35.65297428948437,139.63745931928787,,http://tokyo.seikatsuclub.coop/care/raise/buranko.html
子ども・子育て総合センター,宮坂3-15-15,35.65388994011895,139.6373143956093,,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00007788.html
ぐみの木ひろば,世田谷区上北沢1-32-10,35.66409691585936,139.62356700626447,,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00153921.html
ほっとスクール「城山」,豪徳寺2-10-9,35.648159983509224,139.64942520889343,,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005679.html
子育てステーション梅丘,梅丘1-31-36,35.656178380855174,139.6542355021637,,http://www.city.setagaya.lg.jp/kurashi/103/128/454/d00027635.html
おでかけひろば＠あみーご,松原4-2-18,35.66087097830179,139.64795172135643,,http://plaza.rakuten.co.jp/atamigo/
